InteractionID	UniprotID_A	UniprotName_A	GeneName_A	UniprotID_B	UniprotName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
3319580	A0JLT2	MED19_HUMAN	MED19	P24928	RPB1_HUMAN	POLR2A	5	2	3	0	6
3319581	A0JLT2	MED19_HUMAN	MED19	Q9H204	MED28_HUMAN	MED28	6	2	4	0	8
3319582	A0JLT2	MED19_HUMAN	MED19	Q9BWU1	CDK19_HUMAN	CDK19	6	3	4	0	6
3319583	A0JLT2	MED19_HUMAN	MED19	P49336	CDK8_HUMAN	CDK8	6	2	4	0	7
3319584	A0JLT2	MED19_HUMAN	MED19	Q96RN5	MED15_HUMAN	MED15	5	2	3	0	6
3319586	A0JLT2	MED19_HUMAN	MED19	Q71F56	MD13L_HUMAN	MED13L	5	2	3	0	6
3420218	A0MZ66	SHOT1_HUMAN	SHTN1	Q96KG7	MEG10_HUMAN	MEGF10	2	1	2	0	2
3386475	A1A4S6	RHG10_HUMAN	ARHGAP10	Q92625	ANS1A_HUMAN	ANKS1A	2	2	2	0	2
3386824	A1A4S6	RHG10_HUMAN	ARHGAP10	P78314	3BP2_HUMAN	SH3BP2	3	3	2	0	3
3655022	A2IXV5	A2IXV5_HUMAN	MIR cl-10	P29350	PTN6_HUMAN	PTPN6	2	1	2	0	2
3334131	A2RRP1	NBAS_HUMAN	NBAS	O43264	ZW10_HUMAN	ZW10	5	2	3	0	9
3334132	A2RRP1	NBAS_HUMAN	NBAS	Q9P2W9	STX18_HUMAN	STX18	4	3	3	0	7
3334133	A2RRP1	NBAS_HUMAN	NBAS	Q6NUQ1	RINT1_HUMAN	RINT1	4	2	3	0	10
3386470	A2RUH7	MBPHL_HUMAN	MYBPHL	Q63HR2	TNS2_HUMAN	TNS2	2	2	2	0	2
3420206	A3KMH1	VWA8_HUMAN	VWA8	Q96KG7	MEG10_HUMAN	MEGF10	2	1	2	0	2
3435021	A5D8V6	VP37C_HUMAN	VPS37C	Q99816	TS101_HUMAN	TSG101	10	8	5	0	11
3647665	A5D8V6	VP37C_HUMAN	VPS37C	Q9UK41	VPS28_HUMAN	VPS28	2	2	2	0	2
3555677	A5PLL7	TM189_HUMAN	TMEM189	P61088	UBE2N_HUMAN	UBE2N	4	4	3	0	4
3358393	A5PLN9	TPC13_HUMAN	TRAPPC13	O43617	TPPC3_HUMAN	TRAPPC3	3	3	2	0	5
3312147	A5YKK6	CNOT1_HUMAN	CNOT1	Q9NZN8	CNOT2_HUMAN	CNOT2	8	7	6	1	14
3312148	A5YKK6	CNOT1_HUMAN	CNOT1	O95628	CNOT4_HUMAN	CNOT4	2	1	2	0	4
3312149	A5YKK6	CNOT1_HUMAN	CNOT1	Q9UFF9	CNOT8_HUMAN	CNOT8	11	7	7	0	14
3326041	A5YKK6	CNOT1_HUMAN	CNOT1	O75175	CNOT3_HUMAN	CNOT3	9	6	6	1	12
3327468	A5YKK6	CNOT1_HUMAN	CNOT1	Q96LI5	CNO6L_HUMAN	CNOT6L	8	4	5	0	11
3331513	A5YKK6	CNOT1_HUMAN	CNOT1	P50616	TOB1_HUMAN	TOB1	4	3	3	0	5
3354259	A5YKK6	CNOT1_HUMAN	CNOT1	Q9UIV1	CNOT7_HUMAN	CNOT7	13	8	8	1	17
3368108	A5YKK6	CNOT1_HUMAN	CNOT1	Q9UKZ1	CNO11_HUMAN	CNOT11	4	4	3	0	5
3390951	A5YKK6	CNOT1_HUMAN	CNOT1	Q9C0C2	TB182_HUMAN	TNKS1BP1	2	2	2	0	2
3390952	A5YKK6	CNOT1_HUMAN	CNOT1	Q6P9B9	INT5_HUMAN	INTS5	2	2	2	0	2
3390953	A5YKK6	CNOT1_HUMAN	CNOT1	Q14201	BTG3_HUMAN	BTG3	2	2	2	0	2
3390954	A5YKK6	CNOT1_HUMAN	CNOT1	Q7KZF4	SND1_HUMAN	SND1	2	2	2	0	2
3390955	A5YKK6	CNOT1_HUMAN	CNOT1	P17480	UBF1_HUMAN	UBTF	2	2	2	0	2
3390956	A5YKK6	CNOT1_HUMAN	CNOT1	Q5W0B1	RN219_HUMAN	RNF219	3	2	3	0	3
3390957	A5YKK6	CNOT1_HUMAN	CNOT1	Q8NE71	ABCF1_HUMAN	ABCF1	2	2	2	0	2
3390958	A5YKK6	CNOT1_HUMAN	CNOT1	Q9BTU6	P4K2A_HUMAN	PI4K2A	2	2	2	0	2
3390959	A5YKK6	CNOT1_HUMAN	CNOT1	Q92600	RCD1_HUMAN	RQCD1	9	6	7	4	11
3390960	A5YKK6	CNOT1_HUMAN	CNOT1	Q9HC44	GPBL1_HUMAN	GPBP1L1	2	2	2	0	2
3390961	A5YKK6	CNOT1_HUMAN	CNOT1	O00560	SDCB1_HUMAN	SDCBP	2	2	2	0	2
3390962	A5YKK6	CNOT1_HUMAN	CNOT1	Q14106	TOB2_HUMAN	TOB2	2	2	2	0	2
3390963	A5YKK6	CNOT1_HUMAN	CNOT1	P47756	CAPZB_HUMAN	CAPZB	2	2	2	0	2
3390965	A5YKK6	CNOT1_HUMAN	CNOT1	P52907	CAZA1_HUMAN	CAPZA1	2	2	2	0	2
3390967	A5YKK6	CNOT1_HUMAN	CNOT1	P46100	ATRX_HUMAN	ATRX	2	2	2	0	2
3390968	A5YKK6	CNOT1_HUMAN	CNOT1	Q14192	FHL2_HUMAN	FHL2	2	2	2	0	2
3390969	A5YKK6	CNOT1_HUMAN	CNOT1	Q9UHB7	AFF4_HUMAN	AFF4	2	2	2	0	2
3390970	A5YKK6	CNOT1_HUMAN	CNOT1	Q9NWT8	AKIP_HUMAN	AURKAIP1	2	2	2	0	2
3390971	A5YKK6	CNOT1_HUMAN	CNOT1	P42677	RS27_HUMAN	RPS27	2	2	2	0	2
3390972	A5YKK6	CNOT1_HUMAN	CNOT1	O15504	NUPL2_HUMAN	NUPL2	2	2	2	0	2
3390973	A5YKK6	CNOT1_HUMAN	CNOT1	Q9H9A5	CNO10_HUMAN	CNOT10	5	4	4	0	9
3390974	A5YKK6	CNOT1_HUMAN	CNOT1	P47755	CAZA2_HUMAN	CAPZA2	3	2	3	0	3
3386823	A6NJ69	IGIP_HUMAN	IGIP	Q13387	JIP2_HUMAN	MAPK8IP2	3	3	2	0	3
3386428	A7E2Y1	MYH7B_HUMAN	MYH7B	Q63HR2	TNS2_HUMAN	TNS2	2	2	2	0	2
3405996	A7E2Y1	MYH7B_HUMAN	MYH7B	O00629	IMA3_HUMAN	KPNA4	2	2	2	0	2
3405997	A7E2Y1	MYH7B_HUMAN	MYH7B	P52298	NCBP2_HUMAN	NCBP2	2	2	2	0	2
3405998	A7E2Y1	MYH7B_HUMAN	MYH7B	Q92552	RT27_HUMAN	MRPS27	2	2	2	0	2
3405999	A7E2Y1	MYH7B_HUMAN	MYH7B	Q9H9Q2	CSN7B_HUMAN	COPS7B	2	2	2	0	2
3406001	A7E2Y1	MYH7B_HUMAN	MYH7B	Q9BY77	PDIP3_HUMAN	POLDIP3	2	2	2	0	3
3406002	A7E2Y1	MYH7B_HUMAN	MYH7B	O75340	PDCD6_HUMAN	PDCD6	2	2	2	0	2
3406003	A7E2Y1	MYH7B_HUMAN	MYH7B	Q99442	SEC62_HUMAN	SEC62	2	2	2	0	2
3406005	A7E2Y1	MYH7B_HUMAN	MYH7B	Q96HS1	PGAM5_HUMAN	PGAM5	2	2	2	0	2
3406006	A7E2Y1	MYH7B_HUMAN	MYH7B	P54289	CA2D1_HUMAN	CACNA2D1	2	2	2	0	2
3406007	A7E2Y1	MYH7B_HUMAN	MYH7B	P51114	FXR1_HUMAN	FXR1	2	2	2	0	2
3406009	A7E2Y1	MYH7B_HUMAN	MYH7B	Q9NYF8	BCLF1_HUMAN	BCLAF1	2	2	2	0	2
3406010	A7E2Y1	MYH7B_HUMAN	MYH7B	Q15291	RBBP5_HUMAN	RBBP5	2	2	2	0	2
3420207	A7KAX9	RHG32_HUMAN	ARHGAP32	Q96KG7	MEG10_HUMAN	MEGF10	2	1	2	0	2
3549961	A7KAX9	RHG32_HUMAN	ARHGAP32	P04629	NTRK1_HUMAN	NTRK1	5	4	2	0	5
3555125	A7KAX9	RHG32_HUMAN	ARHGAP32	P56945	BCAR1_HUMAN	BCAR1	4	3	2	0	4
3571015	A7KAX9	RHG32_HUMAN	ARHGAP32	P46108	CRK_HUMAN	CRK	4	3	2	0	4
3649823	A7KAX9	RHG32_HUMAN	ARHGAP32	P61586	RHOA_HUMAN	RHOA	3	1	3	0	3
3649975	A7KAX9	RHG32_HUMAN	ARHGAP32	P63000	RAC1_HUMAN	RAC1	3	1	3	0	3
3318491	A7MCY6	TBKB1_HUMAN	TBKBP1	Q9UHD2	TBK1_HUMAN	TBK1	10	6	5	0	16
3330071	A7MCY6	TBKB1_HUMAN	TBKBP1	Q14164	IKKE_HUMAN	IKBKE	6	4	3	0	7
3373998	A8K0Z3	WASH1_HUMAN	WASH1	Q14457	BECN1_HUMAN	BECN1	6	5	2	0	8
3326473	A8K8P3	SFI1_HUMAN	SFI1	P41208	CETN2_HUMAN	CETN2	6	6	2	0	6
3788535	A8K8P3	SFI1_HUMAN	SFI1	Q2TAC2	CCD57_HUMAN	CCDC57	2	1	2	0	2
3725593	A8MPX8	PP2D1_HUMAN	PP2D1	P05067	A4_HUMAN	APP	2	1	2	0	2
3673857	A8MT69	CENPX_HUMAN	STRA13	Q9NW38	FANCL_HUMAN	FANCL	2	1	2	0	3
3673858	A8MT69	CENPX_HUMAN	STRA13	O15360	FANCA_HUMAN	FANCA	3	1	3	0	5
3340457	B2RNN3	C1T9B_HUMAN	C1QTNF9B	P0C862	C1T9A_HUMAN	C1QTNF9	3	3	2	0	3
3768876	B5ME19	EIFCL_HUMAN	EIF3CL	Q14152	EIF3A_HUMAN	EIF3A	2	1	2	0	2
3768902	B5ME19	EIFCL_HUMAN	EIF3CL	P60228	EIF3E_HUMAN	EIF3E	3	2	3	0	3
3748632	B7ZMF0	B7ZMF0_HUMAN	CEP192	Q6P2H3	CEP85_HUMAN	CEP85	2	2	2	0	2
3748636	B7ZMF0	B7ZMF0_HUMAN	CEP192	Q8TCU4	ALMS1_HUMAN	ALMS1	2	2	2	0	2
3748639	B7ZMF0	B7ZMF0_HUMAN	CEP192	Q8NHV4	NEDD1_HUMAN	NEDD1	2	2	2	0	2
3358946	D6RGH6	MCIN_HUMAN	MCIDAS	O75496	GEMI_HUMAN	GMNN	5	5	2	1	8
3710147	F5HEZ4	VFLIP_HHV8P	ORF71	Q12933	TRAF2_HUMAN	TRAF2	2	1	2	0	3
3710148	F5HEZ4	VFLIP_HHV8P	ORF71	Q9Y6K9	NEMO_HUMAN	IKBKG	8	4	6	0	9
3214694	F5HF68	VIRF1_HHV8P	vIRF-1	Q92793	CBP_HUMAN	CREBBP	4	2	3	0	5
3214695	F5HF68	VIRF1_HHV8P	vIRF-1	Q09472	EP300_HUMAN	EP300	5	3	4	0	5
3567975	F7VJQ1	APRIO_HUMAN	PRNP	P11021	GRP78_HUMAN	HSPA5	2	2	2	0	2
3333749	O00124	UBXN8_HUMAN	UBXN8	P55072	TERA_HUMAN	VCP	6	3	4	0	7
3402771	O00139	KIF2A_HUMAN	KIF2A	Q9H2D6	TARA_HUMAN	TRIOBP	2	2	2	0	2
3402772	O00139	KIF2A_HUMAN	KIF2A	Q96K37	S35E1_HUMAN	SLC35E1	2	2	2	0	2
3402773	O00139	KIF2A_HUMAN	KIF2A	Q99661	KIF2C_HUMAN	KIF2C	2	2	2	0	3
3402774	O00139	KIF2A_HUMAN	KIF2A	Q9UBC1	IKBL1_HUMAN	NFKBIL1	2	2	2	0	2
3402775	O00139	KIF2A_HUMAN	KIF2A	Q8TAE8	G45IP_HUMAN	GADD45GIP1	2	2	2	0	2
3402776	O00139	KIF2A_HUMAN	KIF2A	P15586	GNS_HUMAN	GNS	2	2	2	0	2
3402778	O00139	KIF2A_HUMAN	KIF2A	Q9HCK4	ROBO2_HUMAN	ROBO2	2	2	2	0	2
3412715	O00139	KIF2A_HUMAN	KIF2A	O00303	EIF3F_HUMAN	EIF3F	2	2	2	0	2
3412716	O00139	KIF2A_HUMAN	KIF2A	P49419	AL7A1_HUMAN	ALDH7A1	2	2	2	0	2
3412717	O00139	KIF2A_HUMAN	KIF2A	P17252	KPCA_HUMAN	PRKCA	2	2	2	0	2
3412718	O00139	KIF2A_HUMAN	KIF2A	Q92879	CELF1_HUMAN	CELF1	2	2	2	0	2
3412719	O00139	KIF2A_HUMAN	KIF2A	Q9Y483	MTF2_HUMAN	MTF2	2	2	2	0	2
3412720	O00139	KIF2A_HUMAN	KIF2A	Q7L5D6	GET4_HUMAN	GET4	2	2	2	0	2
3412721	O00139	KIF2A_HUMAN	KIF2A	Q9H6R7	CB044_HUMAN	C2orf44	2	2	2	0	2
3412722	O00139	KIF2A_HUMAN	KIF2A	Q9UBK8	MTRR_HUMAN	MTRR	2	2	2	0	2
3412723	O00139	KIF2A_HUMAN	KIF2A	P11441	UBL4A_HUMAN	UBL4A	2	2	2	0	2
3412724	O00139	KIF2A_HUMAN	KIF2A	Q12931	TRAP1_HUMAN	TRAP1	2	2	2	0	2
3412725	O00139	KIF2A_HUMAN	KIF2A	Q9Y4F5	C170B_HUMAN	CEP170B	2	2	2	0	2
3412726	O00139	KIF2A_HUMAN	KIF2A	Q5SVZ6	ZMYM1_HUMAN	ZMYM1	2	2	2	0	2
3412727	O00139	KIF2A_HUMAN	KIF2A	Q6UN15	FIP1_HUMAN	FIP1L1	2	2	2	0	2
3412728	O00139	KIF2A_HUMAN	KIF2A	O60303	K0556_HUMAN	KIAA0556	2	2	2	0	2
3412729	O00139	KIF2A_HUMAN	KIF2A	Q9P2L0	WDR35_HUMAN	WDR35	2	2	2	0	2
3412730	O00139	KIF2A_HUMAN	KIF2A	Q01085	TIAR_HUMAN	TIAL1	2	2	2	0	2
3412731	O00139	KIF2A_HUMAN	KIF2A	P46379	BAG6_HUMAN	BAG6	2	2	2	0	2
3412732	O00139	KIF2A_HUMAN	KIF2A	Q99766	ATP5S_HUMAN	ATP5S	2	2	2	0	2
3412733	O00139	KIF2A_HUMAN	KIF2A	O60645	EXOC3_HUMAN	EXOC3	2	2	2	0	2
3412734	O00139	KIF2A_HUMAN	KIF2A	P49674	KC1E_HUMAN	CSNK1E	2	2	2	0	2
3412735	O00139	KIF2A_HUMAN	KIF2A	P49748	ACADV_HUMAN	ACADVL	2	2	2	0	2
3412736	O00139	KIF2A_HUMAN	KIF2A	O95071	UBR5_HUMAN	UBR5	2	2	2	0	2
3412737	O00139	KIF2A_HUMAN	KIF2A	Q8TCZ2	C99L2_HUMAN	CD99L2	2	2	2	0	2
3412738	O00139	KIF2A_HUMAN	KIF2A	P57727	TMPS3_HUMAN	TMPRSS3	2	2	2	0	2
3427184	O00139	KIF2A_HUMAN	KIF2A	Q659C4	LAR1B_HUMAN	LARP1B	5	4	2	0	5
3327970	O00141	SGK1_HUMAN	SGK1	O15530	PDPK1_HUMAN	PDPK1	5	4	4	0	5
3330104	O00141	SGK1_HUMAN	SGK1	P10636	TAU_HUMAN	MAPT	3	2	2	0	3
3554281	O00141	SGK1_HUMAN	SGK1	P46934	NEDD4_HUMAN	NEDD4	5	4	4	0	5
3555141	O00141	SGK1_HUMAN	SGK1	Q96PU5	NED4L_HUMAN	NEDD4L	7	3	7	0	7
3686966	O00141	SGK1_HUMAN	SGK1	Q99576	T22D3_HUMAN	TSC22D3	2	1	2	0	4
3686967	O00141	SGK1_HUMAN	SGK1	P04049	RAF1_HUMAN	RAF1	2	1	2	0	3
3316202	O00148	DX39A_HUMAN	DDX39A	Q13838	DX39B_HUMAN	DDX39B	2	2	2	0	3
3432660	O00148	DX39A_HUMAN	DDX39A	P82979	SARNP_HUMAN	SARNP	13	8	5	0	15
3571230	O00148	DX39A_HUMAN	DDX39A	Q86V81	THOC4_HUMAN	ALYREF	3	3	3	0	3
3441240	O00151	PDLI1_HUMAN	PDLIM1	O43707	ACTN4_HUMAN	ACTN4	5	5	3	0	6
3549323	O00151	PDLI1_HUMAN	PDLIM1	P35609	ACTN2_HUMAN	ACTN2	3	3	2	0	4
3550652	O00151	PDLI1_HUMAN	PDLIM1	Q9NVW2	RNF12_HUMAN	RLIM	2	2	2	0	3
3551662	O00151	PDLI1_HUMAN	PDLIM1	P12814	ACTN1_HUMAN	ACTN1	6	4	3	0	7
3324644	O00159	MYO1C_HUMAN	MYO1C	Q9H9Y6	RPA2_HUMAN	POLR1B	2	2	2	0	2
3394983	O00159	MYO1C_HUMAN	MYO1C	Q8IXM2	BAP18_HUMAN	BAP18	2	2	2	0	2
3394985	O00159	MYO1C_HUMAN	MYO1C	Q7Z7F7	RM55_HUMAN	MRPL55	2	2	2	0	2
3394986	O00159	MYO1C_HUMAN	MYO1C	Q96BQ5	CC127_HUMAN	CCDC127	2	2	2	0	2
3394987	O00159	MYO1C_HUMAN	MYO1C	Q9UPN6	SCAF8_HUMAN	SCAF8	2	2	2	0	2
3394988	O00159	MYO1C_HUMAN	MYO1C	Q6P4F7	RHGBA_HUMAN	ARHGAP11A	2	2	2	0	2
3394989	O00159	MYO1C_HUMAN	MYO1C	P21333	FLNA_HUMAN	FLNA	2	2	2	0	3
3394990	O00159	MYO1C_HUMAN	MYO1C	O95425	SVIL_HUMAN	SVIL	2	2	2	0	3
3394991	O00159	MYO1C_HUMAN	MYO1C	P23528	COF1_HUMAN	CFL1	2	2	2	0	2
3394992	O00159	MYO1C_HUMAN	MYO1C	Q8N9B5	JMY_HUMAN	JMY	2	2	2	0	2
3394993	O00159	MYO1C_HUMAN	MYO1C	Q14151	SAFB2_HUMAN	SAFB2	2	2	2	0	2
3394994	O00159	MYO1C_HUMAN	MYO1C	P52756	RBM5_HUMAN	RBM5	2	2	2	0	2
3394995	O00159	MYO1C_HUMAN	MYO1C	Q6PJ61	FBX46_HUMAN	FBXO46	2	2	2	0	2
3394997	O00159	MYO1C_HUMAN	MYO1C	Q9NX63	MIC19_HUMAN	CHCHD3	2	2	2	0	2
3394998	O00159	MYO1C_HUMAN	MYO1C	Q8N302	AGGF1_HUMAN	AGGF1	2	2	2	0	2
3394999	O00159	MYO1C_HUMAN	MYO1C	Q9BWT7	CAR10_HUMAN	CARD10	2	2	2	0	2
3395000	O00159	MYO1C_HUMAN	MYO1C	Q9Y2T2	AP3M1_HUMAN	AP3M1	2	2	2	0	2
3395001	O00159	MYO1C_HUMAN	MYO1C	P55884	EIF3B_HUMAN	EIF3B	2	2	2	0	2
3395002	O00159	MYO1C_HUMAN	MYO1C	Q9UHB6	LIMA1_HUMAN	LIMA1	2	2	2	0	4
3395003	O00159	MYO1C_HUMAN	MYO1C	O75528	TADA3_HUMAN	TADA3	2	2	2	0	2
3395004	O00159	MYO1C_HUMAN	MYO1C	O60292	SI1L3_HUMAN	SIPA1L3	2	2	2	0	2
3395005	O00159	MYO1C_HUMAN	MYO1C	Q9P0K7	RAI14_HUMAN	RAI14	2	2	2	0	2
3395006	O00159	MYO1C_HUMAN	MYO1C	P11233	RALA_HUMAN	RALA	2	2	2	0	2
3395008	O00159	MYO1C_HUMAN	MYO1C	Q9Y5J9	TIM8B_HUMAN	TIMM8B	2	2	2	0	2
3395009	O00159	MYO1C_HUMAN	MYO1C	Q6IBS0	TWF2_HUMAN	TWF2	2	2	2	0	2
3395010	O00159	MYO1C_HUMAN	MYO1C	P52943	CRIP2_HUMAN	CRIP2	2	2	2	0	2
3395011	O00159	MYO1C_HUMAN	MYO1C	Q92828	COR2A_HUMAN	CORO2A	2	2	2	0	2
3395012	O00159	MYO1C_HUMAN	MYO1C	Q9NYL9	TMOD3_HUMAN	TMOD3	2	2	2	0	2
3395013	O00159	MYO1C_HUMAN	MYO1C	Q27J81	INF2_HUMAN	INF2	2	2	2	0	2
3395014	O00159	MYO1C_HUMAN	MYO1C	O75128	COBL_HUMAN	COBL	2	2	2	0	2
3395015	O00159	MYO1C_HUMAN	MYO1C	Q0ZGT2	NEXN_HUMAN	NEXN	2	2	2	0	4
3395016	O00159	MYO1C_HUMAN	MYO1C	Q9Y4F1	FARP1_HUMAN	FARP1	2	2	2	0	2
3395017	O00159	MYO1C_HUMAN	MYO1C	Q96I25	SPF45_HUMAN	RBM17	2	2	2	0	2
3395018	O00159	MYO1C_HUMAN	MYO1C	O15042	SR140_HUMAN	U2SURP	2	2	2	0	2
3395019	O00159	MYO1C_HUMAN	MYO1C	Q9NR12	PDLI7_HUMAN	PDLIM7	2	2	2	0	2
3395020	O00159	MYO1C_HUMAN	MYO1C	Q5TB80	CE162_HUMAN	CEP162	2	2	2	0	2
3395021	O00159	MYO1C_HUMAN	MYO1C	Q8TB52	FBX30_HUMAN	FBXO30	2	2	2	0	2
3395022	O00159	MYO1C_HUMAN	MYO1C	Q8WYL5	SSH1_HUMAN	SSH1	2	2	2	0	2
3395023	O00159	MYO1C_HUMAN	MYO1C	O14974	MYPT1_HUMAN	PPP1R12A	2	2	2	0	2
3395024	O00159	MYO1C_HUMAN	MYO1C	Q9Y281	COF2_HUMAN	CFL2	2	2	2	0	2
